filename,kurtosis,entropy,R-value,skewness,count,scale
T12.jpg,[250.00394],nan,1.0,[15.874632],[ 1656  8843 18012 35334 23705],[0.2 0.4 0.6 0.8 1. ]
T12.jpg,[249.88046],nan,0.9579787,[15.868823],[ 24227  97006 218188 388016 603060],[0.2 0.4 0.6 0.8 1. ]
,1,7,0,1,0,1,,1,3,,2,,1,,5,4,5,6,5,3,1,0,,2,3,,4,,4,3,2,1,6,5,7,0,,0,,0,,7,,,,3,,,1,7,,2,3,,4,5,,0,,,4,5,6,,,5,,1,0,1,0,1,,,7,1,0,,3,4,5,4,5,,3,2,7,0,7,1,0,1,0,1,3,,1,3,4,,1,2,3,,0,1,0,6,,0,7,0,,3,2,3,4,5,6,7,4,3,,,,1,,1,,,,0,,4,5,7,,,,,,7,,,5,4,5,,0,4,5,1,3,,5,,5,,5,4,5,,5,,5,4,5,4,5,,5,,5,4,5,4,5,,5,4,5,6,3,5,4,0,,0,1,,1,,,,1,,1,,,,1,,1,,,,1,0,1,,1,2,3,,5,4,5,,,,5,4,5,,5,4,5,,5,4,5,4,5,,5,,5,3,5,6,4,5,,5,4,5,,3,5,6,4,5,,2
