filename,kurtosis,entropy,R-value,skewness,count,scale
T23.jpg,[250.00394],nan,0.99999994,[15.874632],[ 2007  7926 17952 31793 20354],[0.2 0.4 0.6 0.8 1. ]
T23.jpg,[249.61298],nan,0.92583644,[15.85633],[ 14600  58397 131395 233581 360513],[0.2 0.4 0.6 0.8 1. ]
,,,7,,7,5,,,1,2,,,1,,3,5,,4,2,7,0,6,,,,7,0,1,7,1,0,1,2,3,,5,1,,4,0,7,0,7,,1,2,7,0,1,2,,3,1,3,4,5,1,0,7,,7,,,3,5,6,3,0,,2,3,5,2,3,7,,,,5,,7,1,6,5,3,5,6,5,,7,0,1,2,6,7,0,,2,3,4,5,,4,5,7,6,5,6,7,1,5,,5,6,,5,6,5,7,0,4,3,5,4,2,7,,2,1,,5,6,5,4,,3,,3,4,5,,,5,,0,6,,7,5,3,5,4,0,,3,,,5,,5,7,6,,5,6,7,4,,,2,3,4,,1,2,1,,,3,,5,6,,5,6,7,1,0,6,7,3,4,,7,4,2,1,2,3
