filename,kurtosis,entropy,R-value,skewness,count,scale
T3.jpg,[250.00394],nan,1.0,[15.874632],[ 1146  4670 10525 18600 12798],[0.2 0.4 0.6 0.8 1. ]
T3.jpg,[249.84122],nan,0.9493373,[15.86698],[ 12052  48199 108463 192880 299338],[0.2 0.4 0.6 0.8 1. ]
7,0,1,3,1,3,4,2,1,,3,2,7,1,0,,1,2,3,,3,4,1,3,7,1,7,1,,,4,5,4,5,,5,7,4,,1,3,1,3,1,,1,,1,2,6,5,,5,7,5,6,,1,,1,,,7,,,5,7,0,,5,,7,6,5,,5,7,,7,,,1,3,2,6,,1,2,3,2,1,2,0,1,,,,2,7,0,,,7,6,7,1,2,1,,,7,,5,6,5,,7,6,7,1,,,5,6,,4,5,6,7,6,7,0,1,,1,2,1,,0,,,,5,6,7,6,5,,4,5,,3,4,5,3,,1,3,,3,4,3,4,5,7,5,6,5,,0,1,6,5,,7,3,,,7,1,2,,4,2,3,5,6,,,3,5,2
