filename,kurtosis,entropy,R-value,skewness,count,scale
T19.jpg,[250.00394],nan,1.0,[15.874632],[ 1201  4820 10962 19585 13241],[0.2 0.4 0.6 0.8 1. ]
T19.jpg,[249.78093],nan,0.9426141,[15.864162],[ 12061  48238 108544 192957 299267],[0.2 0.4 0.6 0.8 1. ]
,7,0,7,3,5,,,1,,,3,1,,1,,,3,,1,2,3,1,2,3,2,3,4,,3,,3,1,0,1,0,,7,6,7,,7,,2,3,7,1,2,3,,0,1,5,6,7,5,7,,,6,,5,,5,6,7,,5,,5,,7,,5,1,3,2,3,1,2,3,1,,1,,1,,3,,1,3,2,1,3,2,3,5,4,,6,7,,7,4,5,,5,7,6,5,6,,5,,5,3,2,3,5,,,6,7,1,2,1,3,2,,1,3,,,6,,6,7,,6,5,6,5,7,,6,4,,4,5,7,3,,6,3,5,1,,1,2,,,1,2,3,4,,4,2,3,2,3,2,3,1,3
