filename,kurtosis,entropy,R-value,skewness,count,scale
T17.jpg,[250.00394],nan,1.0,[15.874632],[  938  3830  8486 15312 12011],[0.2 0.4 0.6 0.8 1. ]
T17.jpg,[51.794544],nan,0.14398655,[6.955852],[  9505  40153  89050 161299 207249],[0.2 0.4 0.6 0.8 1. ]
,,,3,4,3,2,3,,1,2,,2,,,,2,3,4,2,1,2,3,4,,6,7,6,2,,4,5,,7,0,7,0,,2,3,,0,1,0,1,2,1,,,2,,1,0,4,5,,,,7,,,2,,4,5,6,7,6,,,1,,3,,3,4,2,3,2,6,7,0,1,,,2,7,0,1,0,1,2,,,0,1,,3,4,3,,3,,,4,,,4,5,6,3,4,,4,,6,4,,4,,,5,6,3,4,,,5,3,,5,6,7,6,7,,1,7,,1,2,3,4,,6,7,,7,3,,3,,,6,7,3,4,,4,2,0,,0,,,,4,,4,,4,2,0,,0,,0,,0,,0,,0,,0,1,2,3,7,0,,0,,2,3,2,1,2,1,7,0,1,7,0,,,3,,1,2,7,,,,3,1,2,6,7,,,2,3,,,1,0,1,0,1,2,1,2,3,1,2,,,,2,3,,1,2,3,,2,7,0,1,,3,1,,1,2,3,4,3,,,2,3,2,,2,,2,3,,1,,1,2,3,2,3,,3,,5,6,,3,4,5,6,4,1,2,3,4,5,,5,4,1,,3,4,5,2,0,1,2,3,4,5,2,3,4,5,6,7,6,2,,4,,6,7,0,5,3,4,3,4,5,,3,4,5,4,5,4,5,4,,4,5,,0,,0,1,0,1,0,,0,1,0,1,2,3,4,5,4,5,4,,4,5,4,5,4,5,4,,4,5,4,5,,,,0,1,0,,0,1,0,1,2,3,0,7,0,1,0,1,0,1,,,,7,0,1,2,1,,0,,7,0,1,,1,2,3,,0,1,0,1,2,3,2,1,2,3,4,3,,3,2,3,4,5,6,,3,,,,3,4,,4,,,,2,3,,5,,3,,5,4,5,,5,4,5,4,5,,5,4,5,,5,4,5,4,5,,5,4,5,4,5,,5,4,5,,2,,1,,1,0,1,,1,0,1,0,1,,1,0,1,0,1,,1,0,1,,1,0,1,0,1,,1,0,1,0,1,0,1,2,3,,5,4,5,,5,4,5,,5,4,5,,5,4,5,4,5,,5,4,5,,5,4,5,,5,4,5,,5,,0,1,0,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,,2,7,,1,0,1,,1,,1,2,3,1,2,3,4,,3,,,3,,2,,0,,0,1,2,,2,3,,3,,3,4,5,,,4,5,4,3,,2,3,4,3,,5,,5,4,,,1,,1,2,,,5,,2,,1,2,,4
